id,placename,x,y,code
2743463,Den Oord,51.97083,5.27083,PPL
2743477,Zwolle,52.5125,6.09444,PPLA
2743478,Zwolle,52.03167,6.65556,PPL
2743480,Zwingelspaan,51.66,4.49583,PPL
2743482,Zwinderen,52.72667,6.67639,PPL
2743487,Zwilbroek,52.05384,6.6925,PPL
2743489,Zwijnsbergen,51.52667,5.50694,PPL
2743493,Zwijndrecht,51.8175,4.63333,PPL
2743495,Zwiggelte,52.87167,6.58611,PPL
2743497,Zwiep,52.14949,6.4461,PPL
2743505,Zweth,51.96167,4.39444,PPL
2743506,Zwet,51.865,4.55972,PPL
2743507,Zweins,53.18953,5.60689,PPL
2743510,Zweeloo,52.795,6.73056,PPL
2743511,Zweekhorst,51.96167,6.075,PPL
2743516,Zwartsluisje,51.7725,4.32778,PPL
2743518,Zwartsluis,52.64083,6.06944,PPL
2743519,Zwartschaap,52.75833,6.50556,PPL
2743523,Zwarteweg,52.46822,5.90957,PPL
2743524,Zwartewatersklooster,52.61917,6.10556,PPL
2743528,Zwartewaal,51.88333,4.22083,PPL
2743534,Zwarte Ruiter,51.5907,4.28862,PPL
2743537,Zwarte Paard,51.95062,5.45036,PPL
2743538,Zwartenhoek,51.25052,3.85673,PPL
2743540,Zwartendijk,52.53129,5.90507,PPL
2743542,Zwartenberg,51.62668,4.63756,PPL
2743544,Zwartemeer,52.71917,7.04167,PPL
2743548,Zwarteklef,51.54241,5.96665,PPLL
2743553,Zwarte Haan,53.30852,5.62672,PPLL
2743554,Zwarte Goor,52.37667,5.74722,PPL
2743557,Zwarte Gat,52.46667,6.56667,PPLL
2743561,Zwartebroek,52.17917,5.50417,PPL
2743574,Zwanenburg,52.38,4.74583,PPL
2743577,Zwanegat,51.79083,4.51667,PPL
2743578,Zwammerdam,52.10583,4.72639,PPL
2743583,Zwagerveen,53.26285,6.08445,PPL
2743585,Zwagerbosch,53.24817,6.04746,PPL
2743587,Zwaantje,51.8575,4.56806,PPL
2743588,Zwaanshoek,52.3125,4.61667,PPL
2743590,De Westereen,53.25731,6.0363,PPL
2743592,Zwaagdijk-West,52.675,5.05417,PPL
2743593,Zwaagdijk-Oost,52.7075,5.14028,PPL
2743595,Zwaag,52.66917,5.07639,PPL
2743602,Zuurdijk,53.33833,6.37639,PPL
2743604,Zuurbeek,52.67685,5.9848,PPLL
2743605,Zuuk,52.33417,6.00278,PPL
2743608,Zutphen,52.13833,6.20139,PPL
2743611,Zurich,53.11134,5.39437,PPL
2743616,Zuppeld,52.38929,6.02556,PPLX
2743619,Zundert,51.47167,4.65556,PPL
2743620,Zunderdorp,52.40667,4.96528,PPL
2743622,Zuna,52.33417,6.50278,PPL
2743623,Zulkwartier,52.1614,4.52537,PPLX
2743624,Zuilichem,51.80917,5.13611,PPL
2743628,Zuilen,52.10884,5.09084,PPLX
2743630,Zuidzijde,52.08,4.77222,PPL
2743631,Zuidzijde,51.78167,4.36528,PPL
2743632,Zuidzijde,51.70083,4.25833,PPL
2743634,Zuidzande,51.34083,3.45278,PPL
2743636,Zuidwolde,53.2625,6.59167,PPL
2743637,Zuidwolde,52.67167,6.42778,PPL
2743639,Zuidwijken,52.1238,6.19935,PPLX
2743640,Zuidwijk,51.87532,4.48514,PPLX
2743643,Zuidwending,53.09583,6.93472,PPL
2743649,Zuidvelde,53.04583,6.45833,PPL
2743650,Zuidveld,52.92833,7.15139,PPL
2743651,Zuidveld,52.86667,6.63611,PPL
2743652,Zuidveen,52.7775,6.10694,PPL
2743654,Zuid-Spierdijk,52.63667,4.9375,PPL
2743657,Zuidschermer,52.585,4.77917,PPL
2743658,Zuid-Scharwoude,52.68667,4.80833,PPL
2743660,Zuid-Schalkwijk,52.34583,4.64167,PPLX
2743673,Zuidoostbeemster,52.51667,4.94583,PPL
2743678,Zuidloo,52.2325,6.30694,PPL
2743680,Zuidlaren,53.09417,6.68194,PPL
2743683,Zuidland,51.8225,4.25972,PPL
2743684,Zuidlaarderveen,53.10333,6.74861,PPL
2743690,Zuidhoven,51.79631,4.67122,PPLX
2743694,Zuidhorn,53.24667,6.40278,PPL
2743695,Zuidhorn,52.93333,6.23333,PPLL
2743702,Zuidhoek,52.13333,4.76667,PPL
2743708,Zuidhaffel,53.03768,4.80515,PPL
2743713,Zuidgeest,51.46583,4.30833,PPL
2743718,Zuiderwoude,52.43167,5.03611,PPL
2743721,Zuiderveen,53.12917,7.02222,PPL
2743732,Zuiderrot,52.46649,5.88349,PPL
